Well,OD600,CFP,GFP
A1,0.86,7116,98
B1,1.147,10453,134
C1,0.053,28,8
D1,0.052,46,3
E1,0.053,35,0
F1,0.053,31,11
G1,0.054,26,0
H1,0.054,40,1
I1,0.054,50,4
J1,0.051,36,10
K1,0.056,46,4
L1,0.052,35,1
M1,0.06,42,8
N1,0.053,44,10
O1,0.063,46,3
P1,0.053,53,1
A2,0.495,4455,170
B2,0.649,6959,102
C2,0.052,51,11
D2,0.053,47,0
E2,0.056,33,15
F2,0.054,37,0
G2,0.06,28,3
H2,0.078,124,14
I2,0.091,122,14
J2,0.051,37,8
K2,0.053,46,5
L2,0.061,44,0
M2,0.053,48,0
N2,0.061,33,10
O2,0.054,48,10
P2,0.055,48,11
A3,0.216,1722,43
B3,0.334,3704,67
C3,0.054,35,0
D3,0.054,39,7
E3,0.056,34,0
F3,0.053,28,8
G3,0.057,41,13
H3,0.053,63,3
I3,0.053,37,0
J3,0.054,47,3
K3,0.052,45,7
L3,0.052,41,3
M3,0.053,34,6
N3,0.052,38,6
O3,0.057,52,0
P3,0.053,72,4
A4,0.174,1562,59
B4,0.242,2758,74
C4,0.056,47,3
D4,0.062,33,0
E4,0.058,36,3
F4,0.056,34,0
G4,0.072,30,3
H4,0.054,38,5
I4,0.059,39,9
J4,0.058,33,0
K4,0.052,43,1
L4,0.059,39,9
M4,0.052,43,7
N4,0.063,30,4
O4,0.052,31,3
P4,0.052,31,9
A5,0.123,995,56
B5,0.153,1754,56
C5,0.054,35,8
D5,0.055,37,0
E5,0.058,41,9
F5,0.055,35,8
G5,0.056,26,8
H5,0.054,42,0
I5,0.097,38,7
J5,0.053,39,0
K5,0.054,38,0
L5,0.053,40,8
M5,0.052,34,3
N5,0.053,37,0
O5,0.052,34,4
P5,0.054,51,2
A6,0.11,629,52
B6,0.109,1054,59
C6,0.056,21,5
D6,0.054,40,5
E6,0.057,38,0
F6,0.056,39,9
G6,0.054,39,10
H6,0.054,36,5
I6,0.053,27,0
J6,0.053,29,0
K6,0.053,29,2
L6,0.054,47,6
M6,0.052,32,0
N6,0.051,29,10
O6,0.056,32,0
P6,0.055,96,10
A7,0.072,383,54
B7,0.082,640,63
C7,0.054,35,4
D7,0.054,37,0
E7,0.056,32,1
F7,0.056,41,7
G7,0.053,32,5
H7,0.054,31,3
I7,0.054,34,5
J7,0.053,37,0
K7,0.052,29,1
L7,0.052,52,9
M7,0.053,33,0
N7,0.053,38,1
O7,0.056,39,8
P7,0.057,155,14
A8,0.063,256,62
B8,0.065,423,61
C8,0.056,45,5
D8,0.054,29,0
E8,0.056,38,3
F8,0.056,42,12
G8,0.061,40,3
H8,0.053,34,6
I8,0.059,35,0
J8,0.059,37,2
K8,0.054,44,4
L8,0.053,42,0
M8,0.052,32,10
N8,0.054,34,5
O8,0.055,48,5
P8,0.052,58,5
A9,1.228,240,28009
B9,0.687,173,17397
C9,0.053,37,7
D9,0.059,38,2
E9,0.06,53,10
F9,0.057,38,0
G9,0.056,29,7
H9,0.056,43,1
I9,0.053,36,1
J9,0.055,27,4
K9,0.057,39,7
L9,0.053,35,6
M9,0.052,38,7
N9,0.054,24,3
O9,0.053,47,3
P9,0.052,51,0
A10,0.703,157,18847
B10,0.398,131,10729
C10,0.054,43,3
D10,0.057,60,12
E10,0.058,47,10
F10,0.053,43,5
G10,0.061,40,0
H10,0.055,32,3
I10,0.054,33,3
J10,0.055,42,0
K10,0.058,33,6
L10,0.052,39,3
M10,0.055,41,3
N10,0.055,31,8
O10,0.056,46,2
P10,0.053,83,4
A11,0.344,101,8947
B11,0.16,75,3832
C11,0.056,32,1
D11,0.058,34,0
E11,0.058,53,9
F11,0.059,44,6
G11,0.056,36,4
H11,0.058,35,10
I11,0.054,32,3
J11,0.053,36,8
K11,0.052,32,8
L11,0.053,38,11
M11,0.059,28,0
N11,0.055,44,4
O11,0.056,49,7
P11,0.055,89,12
A12,0.245,94,7113
B12,0.142,66,3609
C12,0.055,38,7
D12,0.054,35,2
E12,0.061,43,7
F12,0.055,45,0
G12,0.054,33,4
H12,0.055,38,11
I12,0.053,34,6
J12,0.06,32,6
K12,0.053,40,5
L12,0.053,37,4
M12,0.052,35,12
N12,0.055,39,12
O12,0.055,50,7
P12,0.058,158,13
A13,0.151,76,4007
B13,0.1,72,2126
C13,0.063,35,10
D13,0.057,41,6
E13,0.067,37,5
F13,0.061,38,7
G13,0.06,35,7
H13,0.056,39,0
I13,0.054,32,2
J13,0.065,42,4
K13,0.052,42,5
L13,0.052,36,10
M13,0.052,34,0
N13,0.053,47,7
O13,0.053,59,8
P13,0.054,97,13
A14,0.117,78,2874
B14,0.075,61,1277
C14,0.064,48,11
D14,0.07,65,12
E14,0.058,49,2
F14,0.084,33,4
G14,0.057,35,0
H14,0.053,30,0
I14,0.055,38,5
J14,0.054,38,3
K14,0.054,39,3
L14,0.053,34,4
M14,0.056,44,8
N14,0.052,35,6
O14,0.057,38,1
P14,0.091,45,3
A15,0.084,69,1669
B15,0.063,106,790
C15,0.053,31,0
D15,0.066,47,4
E15,0.054,31,8
F15,0.094,61,13
G15,0.133,38,5
H15,0.056,39,0
I15,0.053,29,9
J15,0.054,35,8
K15,0.051,36,5
L15,0.052,36,0
M15,0.052,40,3
N15,0.057,57,5
O15,0.055,51,3
P15,0.053,69,0
A16,0.08,72,1077
B16,0.053,67,439
C16,0.056,35,7
D16,0.063,35,4
E16,0.056,42,14
F16,0.059,42,5
G16,0.096,33,5
H16,0.054,34,5
I16,0.054,27,5
J16,0.055,31,1
K16,0.053,31,7
L16,0.055,37,12
M16,0.053,42,14
N16,0.053,39,12
O16,0.053,55,10
P16,0.053,63,2
A17,0.047,94,59
B17,0.044,78,52
C17,0.053,43,5
D17,0.063,43,1
E17,0.057,44,0
F17,0.06,65,6
G17,0.055,47,18
H17,0.052,35,0
I17,0.053,32,0
J17,0.052,33,0
K17,0.053,34,5
L17,0.051,38,12
M17,0.054,35,6
N17,0.062,40,0
O17,0.052,39,7
P17,0.061,64,0
A18,0.044,70,29
B18,0.044,61,60
C18,0.055,50,6
D18,0.066,52,2
E18,0.054,50,2
F18,0.054,53,9
G18,0.061,39,1
H18,0.055,34,2
I18,0.053,34,12
J18,0.052,47,7
K18,0.053,33,10
L18,0.053,35,0
M18,0.053,36,4
N18,0.052,33,6
O18,0.052,52,11
P18,0.056,84,4
A19,0.047,70,86
B19,0.046,69,39
C19,0.053,35,13
D19,0.056,30,0
E19,0.052,47,9
F19,0.054,43,12
G19,0.052,41,6
H19,0.054,37,3
I19,0.052,34,2
J19,0.054,38,5
K19,0.052,30,1
L19,0.052,26,5
M19,0.056,35,0
N19,0.053,31,7
O19,0.052,29,0
P19,0.055,60,10
A20,0.044,69,21
B20,0.045,79,34
C20,0.058,57,8
D20,0.061,33,6
E20,0.053,35,4
F20,0.061,35,0
G20,0.066,34,0
H20,0.056,36,0
I20,0.054,38,12
J20,0.052,39,2
K20,0.055,33,1
L20,0.052,29,5
M20,0.053,41,2
N20,0.052,33,1
O20,0.052,40,3
P20,0.054,69,11
A21,0.045,63,48
B21,0.051,64,79
C21,0.053,42,1
D21,0.053,48,6
E21,0.053,39,1
F21,0.053,35,6
G21,0.059,43,8
H21,0.065,50,2
I21,0.053,29,11
J21,0.051,31,10
K21,0.052,38,7
L21,0.052,30,1
M21,0.052,34,3
N21,0.052,42,9
O21,0.052,44,8
P21,0.053,87,11
A22,0.043,62,38
B22,0.042,84,59
C22,0.053,33,7
D22,0.053,37,7
E22,0.054,35,15
F22,0.054,38,4
G22,0.053,37,6
H22,0.06,181,19
I22,0.053,41,7
J22,0.052,31,0
K22,0.052,35,2
L22,0.052,47,1
M22,0.053,28,3
N22,0.052,43,3
O22,0.053,50,10
P22,0.06,53,0
A23,0.045,87,204
B23,0.044,77,119
C23,0.055,50,7
D23,0.054,51,7
E23,0.061,53,2
F23,0.069,38,7
G23,0.073,26,1
H23,0.101,50,177
I23,0.054,33,9
J23,0.051,38,0
K23,0.051,48,3
L23,0.059,39,2
M23,0.052,38,1
N23,0.052,58,4
O23,0.061,44,7
P23,0.053,46,7
A24,0.044,83,172
B24,0.045,89,261
