Row,color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Green,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
B,Green,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0
C,Green,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0
D,Green,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0
E,Green,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0
F,Green,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0
G,Green,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0
H,Green,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
I,Green,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
J,Green,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
K,Green,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
L,Green,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
M,Green,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,8,7,6,5,4,3,2,1
N,Green,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,8,7,6,5,4,3,2,1
O,Green,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,8,7,6,5,4,3,2,1
P,Green,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,8,7,6,5,4,3,2,1
A,Blue,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1
B,Blue,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1
C,Blue,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1
D,Blue,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1
E,Blue,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1
F,Blue,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1
G,Blue,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1
H,Blue,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1
I,Blue,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1
J,Blue,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1
K,Blue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10,10,10
L,Blue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9
M,Blue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
N,Blue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
O,Blue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10,10,10
P,Blue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9
A,Orange,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,10,10,10,10,10,10,10,10
B,Orange,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,9,9,9,9,9,9,9,9
