Read,Colour,Genotype,1,2,3,4,5,6,7,8
OD600,T,1,1.392,0.861,0.382,0.313,0.191,0.125,0.093,0.071
OD600,T,5,1.88,1.257,0.637,0.443,0.273,0.173,0.119,0.082
OD600,T,8,1.528,1.001,0.439,0.324,0.228,0.134,0.109,0.075
OD600,O,1,0.199,0.117,0.074,0.063,0.056,0.05,0.046,0.046
OD600,O,5,0.328,0.19,0.106,0.083,0.066,0.055,0.05,0.049
OD600,O,8,1.525,0.965,0.417,0.335,0.197,0.147,0.098,0.074
OD600,blank,blank,0.043,0.045,0.044,0.044,0.044,0.043,0.043,0.042
OD600,blank,blank,0.042,0.042,0.042,0.044,0.042,0.041,0.042,0.042
OD600,blank,blank,0.042,0.043,0.045,0.044,0.041,0.042,0.042,0.041
CFP,T,1,18860,11317,6576,4132,3167,1867,1231,705
CFP,T,5,36960,25482,16158,9523,7086,4289,2697,1542
CFP,T,8,20916,12732,7670,4711,3437,1924,1233,840
CFP,blank,blank,68,72,65,79,55,53,52,52
CFP,blank,blank,69,64,71,77,57,51,49,53
CFP,blank,blank,65,65,57,70,53,56,54,51
OFP,O,1,6498,3469,1514,1063,636,383,215,109
OFP,O,5,12329,6858,3002,2065,1168,682,381,204
OFP,O,8,46614,29676,16135,12257,7425,4789,2774,1548
OFP,blank,blank,14,16,11,34,9,16,7,8
OFP,blank,blank,9,5,9,44,17,16,0,16
OFP,blank,blank,10,2,17,15,5,0,8,13
