Read,Colour,Genotype,1,2,3,4,5,6,7,8
OD600,T,5,1.626,1.072,0.548,0.373,0.222,0.176,0.111,0.085
OD600,T,8,1.751,1.196,0.562,0.389,0.258,0.158,0.113,0.087
OD600,O,5,1.301,0.827,0.361,0.281,0.185,0.132,0.091,0.073
OD600,O,8,1.788,1.22,0.56,0.414,0.262,0.175,0.115,0.092
OD600,blank,blank,0.061,0.062,0.101,0.092,0.068,0.077,0.057,0.057
OD600,blank,blank,0.054,0.054,0.055,0.054,0.058,0.059,0.057,0.058
CFP,T,5,33837,21389,12015,7962,5033,3340,1780,1230
CFP,T,8,40696,27492,14824,9866,6783,4406,2579,1496
CFP,blank,blank,36,41,74,40,43,40,28,34
CFP,blank,blank,34,29,28,33,28,32,32,35
OFP,O,5,36006,25141,15608,10474,6556,3752,2153,1417
OFP,O,8,50523,38074,23241,15582,10950,6856,4083,2494
OFP,blank,blank,10,14,40,13,15,14,5,12
OFP,blank,blank,6,7,10,10,7,14,0,0
