"","Colour","breakpoint","sigma","Intercept","Slope","bg","detection.lim","detection.lim.odeq"
"1","GFP",176.337389444881,0.186000688716267,-5.68646422064233,0.592672969515033,33.3225806451613,40.1344855435246,0.0302525205496922
"2","OFP",858.338565371624,0.18899343030363,-8.77245839955144,0.900882545575936,13.6304347826087,16.4660152404628,0.00193273842456049
"3","CFP",201.350029751073,0.194824036941182,-6.43372779184418,0.714194850575489,63.8589743589744,77.5948580944935,0.0359398680609952
